Freq	Va	Vb	Vb-a	-Fase (CH2)	err-Fase (CH2)	-Fase (CH1)	err-Fase (CH1)
Hz	V	V	V	$\mu$s	$\mu$s	$\mu$s	$\mu$s
$\pm$ 1	$\pm$ 0.08	$\pm$ 0.08	$\pm$ 0.16		$\pm$ 		$\pm$ 
75	10.2	0.80	10.3	3300	200	6400	200
100	10.2	1.12	10.2	2440	80	4800	80
200	10.2	2.24	10.1	1280	40	2340	40
300	10.2	3.12	9.84	840	40	1500	40
400	10.2	4.08	9.60	640	20	1090	20
500	10.2	4.88	9.20	510	20	850	20
700	10.1	6.16	8.40	356	8	560	8
1000	10.3	7.68	7.36	248	8	372	8
1500	10.3	8.88	5.68	164	4	220	4
2000	10.2	9.36	4.64	120	4	158	4
3000	10.2	9.92	3.36	78	2	96	2
4000	10.2	10	2.64	59	2	68	2
