Freq	Va	Vb	Vb-a (MATH)	-Fase (MATH-CH2)	errFase CH2	-Fase (MATH-CH1)	errFase CH1
Hz	V	V	V	micro s	micro s	micro s	micro s
error ultima cifra	0.08*2	0.08*2	0.08*2		*2		*2
100	10.2	0.24	10.3	2400	100	4900	100
200	10.2	0.40	10.3	1280	40	2480	40
300	10.2	0.56	10.3	840	20	1660	20
400	10.2	0.72	10.3	630	10	1240	20
500	10.1	0.96	10.2	490	10	980	10
700	10.1	1.36	10.2	370	10	700	10
1000	10.2	2.00	10.2	248	4	464	4
5000	9.76	6.88	7.28	50	1	74	2
7000	9.6	7.92	6.00	34.8	0.4	51	1
10000	9.44	8.64	4.72	23.6	0.4	32.0	0.4
20000	9.36	9.20	2.8	13.6	0.2	11.6	0.2
