Freq	Va	Vb	R (Ohm)	1000		-Fase (MATH-CH1)	errFase CH1
Hz	V	V	C (nF)	43		micro s	micro s
check	0.2	0.08	L (H)	0.0657			
1000	10.4	3.2				192	8
1500	10.6	5.2				106	4
2000	10.6	7.44				52	4
2200	10.4	8.16				37	2
2500	10.2	9.04				19	2
2600	10.2	9.28				4	2
3000	10.5	9.28				-6	2
3025	10.4	9.28				-7	2
3050	10.4	9.28				-9	2
3100	10.4	9.20				-12	2
3500	10.4	8.48				-21	2
4000	10.6	7.44				-28	4
4500	10.6	6.48				-30	2
5500	10.6	5.04				-30	2
6500	10.8	4.16				-28.0	2
7500	10.8	3.60				-25	2
8500	10.8	3.12				-24	2
9500	10.6	2.72				-23	2
